id;image_path;figures_original;difference_figuren;rating;answer;fascination;participant_id;expertise;fromwhere;zuversichtlich;beurteilt;beurteiler1_yesno;beurteiler1_scaled;beurteiler2_yesno;beurteiler2_scaled;use_this;beurteiler3_yesno;ELO-RATING;accuracy_pixel_by_pixel;figuren;analogy_yes_no;time_on_board
37;12;8;-1;5r2/6k1/4n1p1/8/3N2P1/8/4K3/8;Springer auf d4 nimmt Springer auf e6 gibt dann den König auf g7 ein Schach und nimmt dann den Turm auf f8. König auf g7 nimmt Springer auf f8. Die Bauern bleiben übrig und geht in Remi;5;54f1cd087a;Advanced;2;5;2;0;3;1;5;;1.0;1110;0.765625;7;1;35.0619
38;8;9;1;R4bk1/4pppp/8/8/8/8/2R3P1/5K2;Turm a8 nimmt Lf8, König muss Turm nehemen. Material Austausch. Tc2 geht auf Grundlinie. Schachmatt.;5;54f1cd087a;Advanced;1;4;2;0;3;1;3;;1.0;1110;0.78125;10;1;35.1432
39;6;11;0;8/8/7k/4pPp1/3pP1P1/2pP3K/2P5/8;Alles gleich geblieben;5;54f1cd087a;Advanced;2;5;2;1;1;1;2;;;1110;0.984375;11;1;48.2438
41;2;8;-1;2kr4/1p6/2N5/1Q6/8/4B3/8/8;Der schwarze König ist in der Ecke gefangen, mit seinen eigenen Bauern als Hindernis. Die weiße Dame und der Springer arbeiten zusammen, um kritische Felder zu kontrollieren, während der Läufer bereit ist, in den Angriff einzugreifen. Der b6-Bauer schränkt die Verteidigungsmöglichkeiten zusätzlich ein.;5;54f1ce2a7a;Advanced;1;5;2;1;4;1;4;;;788;0.796875;7;1;21.1299
42;1;7;-1;7k/6b1/R7/5PN1/8/8/3K4/8;Der weiße Turm auf a6 und der Bauer auf f5 kontrollieren die Schlüsselfelder um den schwarzen König. Der weiße Springer bedroht sowohl den schwarzen Läufer als auch das Feld f7, was Schachmatt in einem Zug vorbereitet.;2;54f1ce2a7a;Advanced;1;4;2;1;4;1;5;;;788;0.828125;6;1;32.6868
43;5;14;-9;8/7k/4q3/6N1/6K1/5r2/8/8;"Die Königsgabel, ein taktischer Schachzug par excellence, zeichnet sich durch einen simultanen Angriff auf die drei mächtigsten Figuren aus: König, Dame und Turm. Schachexperten verwenden für diese raffinierte Konstellation den prägnanten Begriff ""Königsgabel""";2;54f1ce2a7a;Advanced;1;4;2;1;4;0;2;;1.0;788;0.71875;5;1;18.616
44;3;13;-3;8/4k3/3p4/2pP4/1pP1K3/pP6/P7/8;Ungenügend Material;4;54f1ce2a7a;Advanced;1;3;2;1;2;1;3;;;788;0.65625;10;1;47.8924
45;11;8;0;8/1p6/p4k2/3p4/P2P3P/5K2/8/8;Die Bauern stechen sich gegenseitig aus. Es könnte ein remi werden;4;54f1ce2a7a;Advanced;1;4;2;1;1;1;2;;;788;0.875;8;1;25.2143
47;12;8;-2;4kr2/8/4n3/8/3N4/5P2/4K3/8;"Ich helfe Ihnen gerne dabei, diese Schachsequenz klarer zu formulieren:
Die Zugfolge wäre: Sxe6+ (Springer schlägt e6 mit Schach), Sxf8+ (Springer schlägt Turm auf f8 mit Schach), Kxf8 (König schlägt Springer auf f8). Die Stellung endet im Remis.";5;54f1ce2a7a;Advanced;1;5;2;0;3;1;3;;1.0;788;0.78125;6;1;37.8713
48;8;9;-1;6R1/8/8/7p/1Q4bk/8/4B2P/6K1;Weißer Läufer auf e2 wird auf G4 gesetzt, dann durch Bauer auf h5 attackiert. Trotzdem endet es durch ein Matt bei Dame auf b4;4;54f1ce2a7a;Advanced;2;5;2;0;3;1;4;;1.0;788;0.765625;8;1;45.542
49;6;11;-2;kp6/r7/R4p2/R3P3/6p1/8/7K/8;Es ist immer noch ein ausgeglichenes Brett, das in einer Patt Situation endet.;5;54f1ce2a7a;Advanced;1;5;2;0;3;1;4;;1.0;788;0.734375;9;1;56.0603
50;15;12;-5;8/8/4k1p1/5p1b/4P3/4KB2/8/8;Das sollte ein einfaches Remi ergeben ohne zuviele Bauern auf dem Feld.;4;54f1ce2a7a;Advanced;2;3;2;1;4;1;3;;;788;0.71875;7;1;20.2626
52;1;7;0;6k1/4Pn1R/7P/3b4/4N3/8/8/8;Weiß dominiert die Stellung mit einem Turm auf der 7. Reihe und einem gefährlich vorrückenden Bauern auf e8.;3;54f1cf4c7a;Advanced;1;4;2;1;4;1;4;;;1367;0.8125;7;1;23.7402
54;3;13;-10;8/8/2kb4/5K2/8/8/8/8;keine Seite genug Figuren für ein mögliches Matt besitzt;4;54f1cf4c7a;Advanced;1;3;2;1;4;1;4;;;1367;0.765625;3;1;12.3069
56;14;12;-1;8/8/p7/P1p1kBp1/3b2Pp/5K1P/8/8;Das Spiel habe ich dieses mal einfach übernommen. ;3;54f1cf4c7a;Advanced;1;5;2;1;2;1;5;;;1367;0.9375;11;1;38.7173
60;15;12;-6;8/8/3k1n2/3b4/2B1P3/8/3K4/8;egal welcher Material Autausch wie stattfindet. Das endresult ist wieder ein Remi;3;54f1cf4c7a;Advanced;1;3;2;1;4;1;4;;;1367;0.71875;6;1;37.7502
61;2;8;0;1rq5/k7/1p1Q4/1P6/1N6/1R6/8/8;Die weiße Dame auf d6 ist besonders bedrohlich, unterstützt durch den Turm und den Läufer. Der b5-Bauer schränkt die Bewegungsfreiheit des schwarzen Königs weiter ein. Die schwarzen Figuren sind unglücklich positioniert und behindern sich gegenseitig bei der Verteidigung.;5;54f1d0647a;Advanced;1;5;2;1;4;1;4;;;788;0.765625;8;1;34.8037
63;5;14;-8;3n4/5N2/3q3k/4P3/5K2/8/8/8;en synchronen Angriff auf König, Dame und Turm. Dieses Manöver, das Schachkenner als Königsgabel bezeichnen;4;54f1d0647a;Advanced;1;4;2;1;4;1;4;;;788;0.6875;6;1;22.7056
65;11;8;1;8/7p/p7/3kq3/1n6/P2B2Q1/6K1/8;Dg3xe5 leitet einen zwingenden Abtausch der Damen ein, gefolgt von einem unvermeidlichen Königsangriff auf die exponierte Dame. ungenügenden Material um ein Matt zu machen;5;54f1d0647a;Advanced;1;1;2;1;4;1;4;;;788;0.78125;9;1;30.7456
66;14;12;-1;8/8/p7/2p1kBp1/P2b2Pp/5K1P/8/8;dieses Mal wurde das Spiel gleich gelassen.;2;54f1d0647a;Advanced;2;4;2;1;2;1;2;;;788;0.9375;11;1;69.5338
68;8;9;1;1R6/8/kp5Q/2p5/2n5/3P4/1R4p1/3K4;Nach dem Springertausch und der anschließenden Turm-Elimination öffnet sich die zweite Reihe fatal für Schwarz. Die weiße Dame nutzt diese Schwäche gnadenlos aus - Db2#! Ein mustergültiges Grundreihenmatt nach vorheriger Materialautusch;2;54f1d0647a;Advanced;1;4;2;0;3;1;3;;1.0;788;0.71875;10;1;26.4886
69;6;11;-8;8/2k5/8/8/2K1N3/8/8/8;Ein klassisches Remi;5;54f1d0647a;Advanced;2;5;2;0;3;1;4;;1.0;788;0.78125;3;1;9.5773
70;15;12;-4;8/8/2pk1n2/3q4/3RP3/2NK4/8/8;Eine Pattsituation kündigt sich an.;3;54f1d0647a;Advanced;1;3;2;0;3;1;1;;1.0;788;0.703125;8;1;22.6187
71;2;8;-3;6rk/2Q2R2/6P1/8/8/8/8/8;Die weiße Dame und der Turm beherrschen die vorletzte Reihe, während der Bauer den schwarzen König einkesselt. Der schwarze Turm behindert die Verteidigung mehr, als er hilft;5;54f1d1867a;Advanced;2;5;2;1;5;1;3;;;853;0.8125;5;1;11.88
73;5;14;-9;3k3b/5N2/7q/8/5K2/8/8/8;Die Königsgabel ist ein Meisterstück der Schachtaktik. Bei dieser Kombination werden die drei wichtigsten Figuren des Gegners - König, Dame und Turm - gleichzeitig angegriffen;4;54f1d1867a;Advanced;1;1;2;1;4;1;4;;;853;0.703125;5;1;16.5732
74;3;13;-10;8/8/3n4/8/2k5/4K3/8/8;Patt Situation;4;54f1d1867a;Advanced;1;3;2;1;4;1;4;;;853;0.75;3;1;14.691300000000002
75;11;8;-3;8/8/6q1/k2p3K/3P4/8/8/8;Kxg6 eliminiert den schwarzen Läufer, eröffnet aber gleichzeitig dem schwarzen König den Weg zum kritischen d4-Bauern. Diese Dynamik könnte in einem Wettlauf münden, bei dem Schwarz versucht, seinen verbliebenen Bauern zur Umwandlung zu bringen;5;54f1d1867a;Advanced;1;5;2;0;3;1;5;;1.0;853;0.796875;5;1;11.5588
76;14;12;-6;8/8/4NK2/5B2/2kn4/3b4/8/8;"Die Stellung präsentiert eine ausbalancierte Mittelspielposition mit identischer Leichtfigurenverteilung - je ein Springer und ein Läufer pro Seite. Diese Symmetrie schafft ein Kräftegleichgewicht mit vielfältigen taktischen und strategischen Optionen für beide Parteien, ohne eindeutigen Vorteil.
Diese Konstellation erinnert an die legendäre 16. Partie des WM-Kampfes zwischen Spassky und Fischer, die trotz komplexen Positionskampfes remis endete.";3;54f1d1867a;Advanced;2;4;2;1;4;1;4;;;853;0.765625;6;1;23.5496
77;12;8;-3;8/k7/1q6/3P4/8/4Q3/5K2/8;Die Damen eliminieren sich gegenseitig, wonach die resultierende Stellung zum Remis führt.;4;54f1d1867a;Advanced;2;5;2;0;3;1;4;;1.0;853;0.8125;5;1;22.788400000000003
78;8;9;-4;kp6/1p6/8/8/3R4/8/2K5/8;Matt in einem Zug ohne Material zu verlieren;1;54f1d1867a;Advanced;1;4;2;0;3;1;3;;1.0;853;0.78125;5;1;19.5914
79;6;11;-6;8/2k5/4K1p1/7p/6P1/8/8/8;Trotz Bauernvorsprung wird diese Partie in einem Patt aufgehen, denn die Könige bleiben wieder einmal übrig..;5;54f1d1867a;Advanced;2;5;2;0;3;1;4;;1.0;853;0.765625;5;1;36.2911
80;15;12;-6;8/8/2k1n3/2n5/1P2N3/4K3/8/8;Die Pferde sind im Materialaustausch und werden aufgelöst. es bleibt nicht mehr viel danach zu klären. Es wir dim Remi münden;3;54f1d1867a;Advanced;1;3;2;1;4;1;4;;;853;0.734375;6;1;22.1023
82;1;7;1;2kn4/1b1R4/2P5/1N6/8/8/7B/K7;Eine Mattsituation bahnt sich an. Turm Springer und Läufer arbeiten zusammen um das finale Matt zu setzen.;3;54f1d2a87a;Advanced;1;4;2;1;5;1;4;;;1271;0.78125;8;1;21.2712
83;5;14;-7;8/2b1k3/5q2/1P1N1p2/2K5/8/8/8;koordinierte Angriff auf König, Dame und Turm in einem einzigen Zug. Diese beeindruckende Konstellation, in Fachkreisen als Königsgabel bekannt;4;54f1d2a87a;Advanced;1;4;2;1;4;1;4;;;1271;0.703125;7;1;22.1697
84;3;13;-3;8/8/6k1/5p2/4pPp1/3pP1P1/3P4/7K;gleiche Situation;4;54f1d2a87a;Advanced;1;3;2;1;2;1;3;;;1271;0.71875;10;1;27.0473
85;11;8;3;8/2R3p1/p4pPp/P6P/8/2q5/2k2K2/8;Txc3 initiiert einen forcierten Materialabtausch, bei dem der weiße König die Dame auf c3 zurückschlagen muss, was zu einer signifikanten Vereinfachung der Stellung führt. Die verbleibenden verstreuten Bauern kreieren ein komplexes Endspie;5;54f1d2a87a;Advanced;1;4;2;1;4;1;5;;;1271;0.734375;11;1;34.0583
87;12;8;0;8/1p6/p7/P1p1k3/2P5/3PK3/8/8;Ich finde da nichts neues im Vergleich zur anderen Patt Situation ;5;54f1d2a87a;Advanced;1;5;2;1;1;1;2;;;1271;0.96875;8;1;29.4297
88;8;9;2;8/3p1p1n/8/1K1Q2bk/8/1n6/2pB4/6R1;Ld2-g5! Eine Drohung gegen den exponierten schwarzen Bauern. Doch es ist eine Falle - der schwarze Springer auf h7 schlägt den Läufer mit Fatal für Schwarz, denn dies öffnet die diagonale Batterie für die weiße Dame, die mit einem eleganten Dh6# das sofortige Matt setz;4;54f1d2a87a;Advanced;1;4;2;0;3;1;4;;1.0;1271;0.765625;11;1;36.4057
89;6;11;-8;8/8/8/3k4/6K1/5B2/8/8;ist für mich ziemlich ähnlich, weil es keinen Sieger geben kann.;1;54f1d2a87a;Advanced;2;3;2;0;3;1;3;;1.0;1271;0.78125;3;1;21.1155
91;2;8;-2;8/5Bpk/1Q6/5N2/8/8/4K3/8;Eine gefährliche Angriffskonstellation. Die weiße Dame, der Läufer und der Springer arbeiten zusammen, um den schwarzen König in der Ecke zu bedrohen, während der Bauer die Verteidigung erschwert.;5;54f1d3c07a;Advanced;1;5;2;1;5;1;5;;;1032;0.828125;6;1;37.1435
92;1;7;-2;8/P7/2R5/8/1b6/1K6/8/k7;Weiß hat den schwarzen König auf der a-Linie gefangen und der weiße Bauer droht zu einer Dame zu werden. Der schwarze Läufer versucht, die Kontrolle über die Diagonalen zu behalten, während der Springer vergeblich versucht, das Matt abzuwenden.;3;54f1d3c07a;Advanced;1;4;2;1;4;1;4;;;1032;0.828125;5;1;19.8428
94;3;13;-10;8/8/2k5/8/8/8/4N3/3K4;Auch ein Remi;5;54f1d3c07a;Advanced;2;3;2;1;4;1;5;;;1032;0.75;3;1;20.184
99;6;11;-7;8/3bk3/8/8/5K2/5B2/8/8;Auch hier ist es nochausgeglichen und es wird in einem Remi übergehen;5;54f1d3c07a;Advanced;2;5;2;0;3;1;4;;1.0;1032;0.75;4;1;26.0687
100;15;12;-7;8/5k2/5nn1/8/4B3/4K3/8/8;Ein Ednspiel mit einem Pferd kündigt sich an.;3;54f1d3c07a;Advanced;2;3;2;0;3;1;4;;1.0;1032;0.734375;5;1;34.8997
101;2;8;-3;6k1/4R3/5Q1q/5N2/8/8/8/8;Ein klassisches Ersticktesmatt-Muster droht. Der schwarze König ist in der Ecke gefangen, während die weißen Figuren perfekt zusammenarbeiten.;5;54f1be267a;Advanced;2;5;2;1;4;1;5;;;1009;0.796875;5;1;26.428800000000003
102;1;7;-2;k7/2RnP3/8/8/8/8/8/6K1;er weiße Bauer auf e7 ist kurz davor, umzuwandeln Der schwarze König ist gefangen und die Verteidigung kämpft gegen die überwältigenden weißen Kräfte.;3;54f1be267a;Advanced;2;4;2;1;4;1;4;;;1009;0.828125;5;1;29.6791
103;5;14;-9;r1r5/3q4/3p4/3N4/8/8/8/8;"Ich habe eine ""Unstoppable Fork"" auf dem Brett positioniert. Diese Stellung garantiert eine unvermeidbare Gabel im nächsten Zug, unabhängig von der gegnerischen Reaktion.";4;54f1be267a;Advanced;1;5;2;1;4;1;4;;;1009;0.71875;5;1;21.2899
104;3;13;-9;8/8/2k5/3b4/8/8/4B3/3K4;Zwei Läufer auf gleicher Bahn, ein Remi;4;54f1be267a;Advanced;1;3;2;1;4;1;5;;;1009;0.734375;4;1;17.155300000000004
105;11;8;-2;8/2k5/2q5/3p4/4B3/2Q5/3K4/8;Dxc6 initiiert eine forcierte Abwicklung, bei der Kxc6 zwangsläufig folgt und das Spielfeld von Schwerfiguren bereinigt. Die resultierende Stellung mit nur einem verbleibenden Läufer fällt in die Kategorie des ungenügenden Materials, da ein Mattsetzen unmöglich wir;5;54f1be267a;Advanced;1;1;2;0;3;1;4;;1.0;1009;0.78125;6;1;21.522800000000004
109;6;11;-5;8/3b2k1/5b2/8/3BK3/5B2/8/8;Der weiße Läufer auf d4 wird sich den Läufer auf f6 schnappen, woraufhin der König g7 f6 geht, das sollte in einem Remi enden.;5;54f1be267a;Advanced;1;5;2;0;3;1;4;;1.0;1009;0.765625;6;1;31.4644
110;15;12;-7;8/2kb4/2q5/8/2R5/1K6/8/8;Sobald die Dame auf d6 attackiert wird durch den weißen Turm, endet es in einem Patt, da nur ein Läufer noch übgri ist.;3;54f1be267a;Advanced;1;3;2;0;3;1;4;;1.0;1009;0.75;5;1;24.2402
112;1;7;-2;8/1bR2P2/8/8/8/k7/8/1K6;Ein Matt bahnt sich an, der Bauer wird zur Königin und gibt ein Schach. Der schwarze König ist gefangen und die Verteidigung kämpft gegen die überwältigenden weißen Kräfte.;3;54f1bf487a;Advanced;1;4;2;1;4;1;1;;;1298;0.828125;5;1;33.5476
113;5;14;-9;8/8/8/4n1q1/7k/5N2/8/4r3;"Ich stellte eine ""German Fork"" auf - eine seltene Vierfachgabel. Mit einem Springer griff ich gleichzeitig König, Dame, Turm und Läufer an.";4;54f1bf487a;Advanced;2;4;2;1;4;1;5;;;1298;0.734375;5;1;26.4969
118;8;9;-2;k1b1R3/pp6/8/1K6/8/5B2/8/8;Ein Matt bahnt sich an durch Turm auf e8.;4;54f1bf487a;Advanced;1;5;2;0;3;1;5;;1.0;1298;0.75;7;1;27.5648
121;2;8;1;1kr5/R7/2B2p2/3Q1P2/6P1/8/8/2K5;Weiß kontorllirt die 7. Reihe und droht mit einem vernichtenden Angriff. Der schwarze König sitzt in der Falle, während sein Turm die Verteidigung behindert.;1;54f1c06a7a;Advanced;1;4;2;1;4;1;1;;;953;0.734375;9;1;30.776300000000003
122;1;7;1;1R6/6P1/6P1/5R2/2kbN3/8/8/K7;Ein Matt bahnt sich an, der Bauer wird zur Königin und gibt ein Schach. Springer setzt den König unter Druck, Türme ;3;54f1c06a7a;Advanced;1;4;2;1;4;1;1;;;953;0.796875;8;1;31.2729
124;3;13;-9;8/5k2/8/5b2/B7/8/2K5/8;zwei gleiche läufer. Ein Patt;5;54f1c06a7a;Advanced;1;3;2;1;4;1;4;;;953;0.765625;4;1;12.461399999999998
125;11;8;3;8/1N5P/2kn2p1/3p2P1/3Pb3/3B3K/8/8;h7-h8D markiert einen entscheidenden Wendepunkt durch die Bauernumwandlung zur stärksten Figur. Die neu entstandene Materialkonstellation mit zusätzlichen Leichtfiguren wie Springer und Läufer schafft ein komplexes Kräftegleichgewicht;1;54f1c06a7a;Advanced;1;4;2;1;4;1;5;;;953;0.71875;11;1;31.324
126;14;12;-1;8/3p4/3P1p2/kqR3R1/1rPK4/2N5/8/8;Der weiße Turm eliminiert die Dame auf b2, was in dieser Zugzwangposition einen unvermeidlichen Materialaustausch von Turm gegen Springer einleitet. Diese forcierte Abwicklung führt aller Wahrscheinlichkeit nach zu einer ausgeglichenen Endspielstellung, die in einem Remis kulminieren sollte.;3;54f1c06a7a;Advanced;1;2;2;0;3;1;4;;1.0;953;0.6875;11;1;32.3416
129;6;11;-7;8/3kn3/8/5N2/6K1/8/8/8;Nicht genügend Material um ein Schachmatt zu erzwingen;5;54f1c06a7a;Advanced;2;5;2;0;3;1;4;;1.0;953;0.78125;4;1;11.9673
130;15;12;-4;8/4k1p1/3r1r2/4P3/3R1R2/4K3/8/8;Die gleiche Anzahl an türmen . das Spiel ist ausgeglichen.;5;54f1c06a7a;Advanced;2;3;2;0;3;1;5;;1.0;953;0.71875;8;1;25.7526
131;2;8;0;4r3/5kPb/2Q2N2/4P3/8/8/8/5K2;der schwarze König ist bedroht. Die weißen Figuren arbeiten harmonisch zusammen.;5;54f1c18c7a;Advanced;1;5;2;1;5;1;5;;;1432;0.796875;8;1;35.6091
132;1;7;0;7R/6P1/8/8/4N1k1/6b1/8/K4R2;Ein subtiles Endspielmanöver kündigt sich an. Die Bauernumwandlung zur Dame mit Schachgebot eröffnet eine taktische Kaskade. Der Springer, geschickt postiert, schnürt das Netz um den gegnerischen Monarchen enger, während die Türme, wie stumme Wächter, bereit stehen, den finalen Todesstoß zu versetzen. Diese Konstellation erinnert an Botwinnik's brillante Endspielführung, wo schseinbar harmlose Bauern plötzlich zu matchentscheidenden Faktoren werden.;3;54f1c18c7a;Advanced;1;4;2;1;5;1;5;;;1432;0.796875;7;1;23.3778
133;5;14;-9;8/8/8/2q1k3/1n6/3N4/5r2/8;"Gerade habe ich eine schachliche Rarität erschaffen: Die ""German Fork"". Mein Springer bedroht nun vier gegnerische Figuren auf einmal.";4;54f1c18c7a;Advanced;1;4;2;1;4;1;4;;;1432;0.71875;5;1;24.2858
134;3;13;-2;8/6k1/6p1/5pP1/4pP2/3pP2K/3P4/7B;Ähnlcihe Situation. Ein Pattsituation;4;54f1c18c7a;Advanced;1;5;2;1;1;1;1;;;1432;0.75;11;1;42.4459
